Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Home Type,Perks,Listing Overview,Bedrooms,Bathrooms,User Views,User Saves,Days on Website,First Floor Dimensions,Flooring,Heating features,Cooling features,Appliances included,Interior features,Parking features,Number of Stories,Lot Size (sqft),Parcel Number,Architectural Style,Home Types,Year built,Sewer Information,Security features,Sub Division,Buyer Agency Compensation,Second Floor Dimensions,Total Parking Spaces,Garage Parking Spaces,Covered Parking Spaces,Community features,Carport Parking Spaces,Basement Dimensions,Third Floor Dimensions,Laundry features,Additional Structures,HOA Status,HOA Fee (monthly),Window Features,Interior Features,Indoor air quality,Water conservation,Construction elements,Lot features
9818 Witham St,Dallas,TX,75220,32.873940000000005,-96.86153,4578,https://www.zillow.com/homedetails/9818-Witham-St-Dallas-TX-75220/26787284_zpid/,1525000,House,Gorgeous swimming poolLoft spaceMassive walk-in showerGreen spaceDual sinksEn-suite primary bathroom,"The entertainers DREAM HOME! Welcome to 9818 Witham Street. Stunning modern new construction design with top-level quality and finishes all throughout. Soaring ceilings allow for tons of natural light to pour into the main living space. Massive chef's kitchen serves as the heart of the home and is ideal for family gatherings and large events. Downstairs bar area is the perfect place to hang out and watch live sporting events, overlooking your gorgeous swimming pool. Downstairs primary is oversized to accommodate any of your needs, complete with stunning en-suite primary bathroom featuring massive walk-in shower with stand alone tub, dual sinks, and his and hers closets. Additional guest bedroom downstairs. Upstairs features loft space overlooking the main living area and additional bedrooms. Out back you have a pool with spa, green space, and tons of privacy. Must see!Chevron DownShow more",4,5,695,45,1, 24 x 24,,"Central, Electric","Central Air, Electric","Dishwasher, Disposal, Gas Oven, Gas Range, Microwave, Refrigerator","Decorative/Designer Lighting Fixtures, Cable TV",,2,8015 ,00000520909000000, DetachedProperty ,SingleFamily,2023," Sewer Available, Water Available, Cable Available",,Brownwood Park,3%,,2,2,2,,,,,,,,,,,,,,
10108 Shadow Way,Dallas,TX,75243,32.915565,-96.710815,2812,https://www.zillow.com/homedetails/10108-Shadow-Way-Dallas-TX-75243/26890314_zpid/,450000,House,Large updated kitchen,"Opportunity knocks. Beautiful family home in Lake Highlands, Richardson ISD. In need of light updating. Large updated kitchen, 2-car garage located on a quiet street in walkable neighborhood.Chevron DownShow more",4,3,4194,270,13 , 13 x 11,"Carpet, Ceramic Tile","Central, Natural Gas","Central Air, Electric","Dishwasher, Electric Cooktop, Disposal","Other, Paneling/Wainscoting",,1,12196,00000820497800000," Traditional , DetachedProperty ",SingleFamily,1985," Sewer Available, Water Available",,Woodbridge 03,3%,,2,2,2,,,,,,,,,,,,,,
1200 Main St Apt 2110,Dallas,TX,75202,32.779796999999995,-96.80144,1103,https://www.zillow.com/homedetails/1200-Main-St-APT-2110-Dallas-TX-75202/80238980_zpid/,395000,Condo,Dart railAmple natural lightAutomatic black out shadesBarstool seatingGrilling areaOpen concept floor planDeep ellum,"Stunning 2 bedroom, 2 bathroom unit with private turfed balcony on the 21st floor of the Metropolitan, in Downtown Dallas. The open concept floor plan with wood flooring throughout provides ample natural light and spacious living. The show stopper kitchen includes barstool seating, stainless steel appliances and a waterfall island. The primary suite features automatic black out shades, custom closet, double vanity and soaking tub. Guest bedroom has floor to ceiling sliding glass doors to the turfed balcony. *Large storage unit is directly across the hall from the unit. Building includes 24-hr security, pool, gym, grilling area, business center and package + food acceptance by FD. Wired for fiber. Comes with one assigned parking space (Option to rent an additional space for a fee). Close proximity to AT&T District, National Hotel, Neiman Marcus, Farmers Market, Deep Ellum, Dart rail and shops +restaurants.Chevron DownShow more",2,2,751,54,4 , 21 x 14,"Laminate, Luxury Vinyl Plank, Travertine","Central, Electric","Central Air, Electric","Some Gas Appliances, Dishwasher, Disposal, Gas Range, Microwave, Plumbed For Gas, Refrigerator",,,1,44866,00C46200000002110, Contemporary/ModernProperty ,Condo,1974," Sewer Available, Water Available, Cable Available","Fire Alarm, Fire Sprinkler System, Security Gate, Smoke Detector(s), Security Guard",Metropolitan 1200 Main St Condo,3.0%,,1,1,1,"Elevator, Fitness Center, Pool, Restaurant, Community Mailbox",,,,,,Yes,781.0,Window Coverings," Decorative/Designer Lighting Fixtures, Eat-in Kitchen, Granite Counters, High Speed Internet, Cable TV, Wired for Sound",,,,
4529 Royal Ln,Dallas,TX,75229,32.895416,-96.83121,6062,https://www.zillow.com/homedetails/4529-Royal-Ln-Dallas-TX-75229/26757216_zpid/,5495000,House,Clean linesEnormous heated poolNeutral color paletteOpen-concept layout,"1 of only 5 homes located behind the parkway wall just West of Welch, this stunning home is designed for the ultimate in entertainment, with an open-concept layout that seamlessly blends indoor and outdoor living. The spacious living areas are perfect for hosting lavish parties or intimate gatherings, and the home is a dream come true for art enthusiasts with its clean lines, neutral color palette and lighting. This home is perfect for multigenerational families, boasting 5 bedrooms, including a 5th bedroom pre-plumbed for an ensuite bathroom. The sprawling 1-acre lot provides ample privacy, and the backyard is a true oasis, complete with an enormous heated pool and spa, cabana, and multiple outdoor seating areas. This exquisite home combines luxury, privacy, and style in one perfect package.Chevron DownShow more",5,6,5305,349,50 , 16 x 12,Stone,"Central, ENERGY STAR Qualified Equipment, Fireplace(s), Zoned","Central Air, Electric, ENERGY STAR Qualified Equipment, Zoned","Built-In Refrigerator, Double Oven, Dishwasher, Electric Cooktop, Disposal, Ice Maker, Tankless Water Heater, Vented Exhaust Fan, Wine Cooler","Dry Bar, Eat-in Kitchen, Kitchen Island, Open Floorplan, Vaulted Ceiling(s), Walk-In Closet(s)",,1,46173,00000414613000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2015," Cable Available, Sewer Available, Water Available","Fire Sprinkler System, Smoke Detector(s)",Luna Park Estates,3.0%,,3,3,3,,,,, Laundry in Utility Room,,,,,,,,,
2806 N Hall St,Dallas,TX,75204,32.802906,-96.797516,2450,https://www.zillow.com/homedetails/2806-N-Hall-St-Dallas-TX-75204/67961729_zpid/,733000,Townhouse,Dramatic marble fireplaceSunshiny kitchenSmall town accessibilitySleek finishes,"Ditch the car and lace up your shoes as you enjoy one of Dallas’s most exclusive, walkable areas. Reminiscent of a Tribeca brownstone, this upscale community of highly sought after townhomes offers the feeling of small town accessibility, with every worldly convenience just moments away. Stroll past the historic architectural gems of State Thomas as you visit your dentist, enjoy the charm of one of Dallas’s oldest cemeteries as you make your way to a trendy West Village brunch, or grab a matcha latte as you hit the Katy Trail. This 3-level home has a beautiful flow with 3 private bedrooms, all with en-suite baths, all fabulously appointed with the highest quality finishes. The second level living with dramatic marble fireplace opens seamlessly to dining, and sunshiny kitchen. Cooking enthusiasts will adore the sleek finishes & swanky high-end appliances, and entertainers will enjoy space for a breakfast room or bar! A knockout home & the universe at your fingertips. What’s not to love?Chevron DownShow more",3,4,1160,127,5 ,,"Tile, Wood","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Built-In Refrigerator, Dishwasher, Disposal, Gas Oven, Gas Range, Gas Water Heater, Ice Maker, Refrigerator, Vented Exhaust Fan, Wine Cooler",,,3,1698 ,00063600070040000, TraditionalProperty ,Townhouse,2004," Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",Smoke Detector(s),Hall Howell Tr,3%, 13 x 14,2,2,2,"Community Mailbox, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, In Hall",,Yes,163.0,"Plantation Shutters, Window Coverings"," Built-in Features, Double Vanity, Eat-in Kitchen, High Speed Internet, Kitchen Island, Multiple Staircases, Open Floorplan, Pantry, Cable TV, Walk-In Closet(s)",,,,
2811 Bedford St,Dallas,TX,75212,32.77797,-96.86565,742,https://www.zillow.com/homedetails/2811-Bedford-St-Dallas-TX-75212/26837085_zpid/,349950,House,,"This is an excellent opportunity to own this land near Trinity Groves, Bishop Arts, and Downtown Dallas. The property must be sold with adjoining land at 2811 Bedford, with no exceptions. The value is in the land, and the zoning must be verified with the city of Dallas. Several zoning options in the area.Chevron DownShow more",2,1,1,0,1, 0 x 0,,,,,Other,No Garage,1,11325,00000700909000000, DetachedProperty ,SingleFamily,1948," Sewer Available, Water Available",,Gerlach & Conduitt,3%,,,,,,,,,,,,,,,,,,
9207 San Fernando Way,Dallas,TX,75218,32.828407,-96.70629,1279,https://www.zillow.com/homedetails/9207-San-Fernando-Way-Dallas-TX-75218/26741079_zpid/,399000,House,Botanical gardenProximity to parksExcellent schools,"Don't miss this chance to turn a diamond in the rough into a polished masterpiece! Whether you're a seasoned renovator or a first-time homebuyer ready to take on a project, this property offers the canvas for your dream home. The surrounding neighborhood is known for its vibrant community, excellent schools, and proximity to parks and recreational areas. Explore the nearby Dallas Arboretum and Botanical Garden or take a stroll along the scenic trails of White Rock Lake. This fixer-upper is also conveniently located near shopping, dining, and entertainment options, ensuring you have everything you need within reach. Act fast, as properties like these are rare finds in this sought-after Dallas neighborhood. Book your appointment today!Chevron DownShow more",2,1,1017,57,4 , 12 x 9,"Tile, Wood",Central,Central Air,"Dishwasher, Gas Cooktop, Refrigerator",Other,,1,12632,," Traditional , DetachedProperty ",SingleFamily,1948," Electricity Available, Natural Gas Available, Sewer Available, Separate Meters, Water Available",,Casa Linda Highlands,3%,,2,2,2,Curbs,,,, In Kitchen,,,,,,,,,
1439 Claude St,Dallas,TX,75203,32.7404,-96.800545,1500,https://www.zillow.com/homedetails/1439-Claude-St-Dallas-TX-75203/26718653_zpid/,275000,House,Quartz countertops,"Discover comfort and style in this fully renovated 4-bed, 3-bath gem. The living room welcomes you with warmth, and the kitchen, equipped with stainless steel appliances and quartz countertops, is a practical delight. Conveniently situated near downtown Dallas, this home offers modern appeal with recent renovations.Chevron DownShow more",4,2,234,6,1, 8 x 9,"Ceramic Tile, Vinyl",Heat Pump,"Central Air, Electric","Dishwasher, Gas Range",Cable TV,OpenHas uncovered spaces: Yes,1,7361 ,00000293815000000," Traditional , DetachedProperty ",SingleFamily,1922," Sewer Available, Water Available, Cable Available",,Cedar Cliff,3%,,,,,,,,,,,,,,,,,,
4527 N Ottawa Dr,Keller,TX,76244,32.7924,-96.89496,1788,https://www.zillow.com/homedetails/4527-N-Ottawa-Dr-Keller-TX-76244/2053225554_zpid/,360000,House,Open floor planDark cabinetsLarge showerVinyl flooring throughoutMaster suiteGranite countersLarge practical laundry room,"Hurry! I won't Last Long... This Beautiful Well Kept Home offers a feeling of casual comfort, both inside and out. Inside, the Entry Hall leads to the kitchen area, Breakfast and Family Room.
This Open Floor Plan welcomes family and friends to gather in both the Dining and Family Room areas with High Ceilings.
The Kitchen offers a Breakfast Bar countertop that you to add Barstools to, Dark Cabinets, Granite Counters and an adjacent Dining Area.
The Master Suite is tucked away from the Secondary Bedrooms. The Master Suite Bathroom boast with a large shower and double sinks.
The Secondary Bedrooms 2, 3 and 4 share a Hall Bathroom. 
No Carpet Worries because there's Vinyl Flooring throughout, This Home has a large practical Laundry Room which leads to the 2 Car Garage. 
Enjoy the extended back patio with family and friends with no neighbors behind the home, and a fence to provide more privacy after a long day at work or running errands. Don't Missed This Opportunity to See This One.Chevron DownShow more",4,2,242,13,1, 17 x 14,Luxury Vinyl Plank,,"Central Air, Ceiling Fan(s)","Dishwasher, Electric Oven, Disposal, Microwave, Refrigerator","Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Cable TV, Walk-In Closet(s)",,1,7840 ,0000068982100000," Traditional , DetachedProperty ",SingleFamily,2019," Electricity Connected, Sewer Available, Water Available, Cable Available","Security System Leased, Smoke Detector(s)",Eagle Ford Plaza,3%,,4,2,4,,2,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
1808 Williams Way Ln,Dallas,TX,75228,32.81307,-96.68400600000001,2143,https://www.zillow.com/homedetails/1808-Williams-Way-Ln-Dallas-TX-75228/2056601966_zpid/,355000,House,Lovely poolShopping centersSpacious closet,"Don't pass up the chance to live near downtown Dallas, with convenient access to major highways, shopping centers, and restaurants. This charming two-story home features a lovely pool, perfect for creating great memories in the Summer. With 3 bedrooms, 2 bathrooms, and a cozy living room complete with a fireplace, you'll have all the space you need to enjoy the holiday season. The owner has made some updates, including an extra large room with a spacious closet, as well as an additional storage room outside for added convenience.Chevron DownShow more",4,3,3215,250,14 , 14 x 14,"Combination, Ceramic Tile","Central, Electric","Central Air, Electric","Dishwasher, Electric Cooktop, Electric Oven, Disposal, Microwave","Eat-in Kitchen, High Speed Internet, Cable TV",,2,5793 ,0073780G000020000, DetachedProperty ,SingleFamily,1990," Electricity Connected, Sewer Available, Water Available, Cable Available",,Ash Creek Add,2.5 %, 11 x 11,2,,2,,2,,, Electric Dryer Hookup,,,,,,,,,
5840 Marquita Ave,Dallas,TX,75206,32.82573,-96.766266,1629,https://www.zillow.com/homedetails/5840-Marquita-Ave-Dallas-TX-75206/26694953_zpid/,785000,House,Fabulous poolNew windowsGorgeous tudorSaltwater poolLandscape lightingGlass front cabinetsBath remodel,"Gorgeous Tudor with saltwater pool & spa on a 184' deep lot in the much sought after M Streets.  Beautifully updated kitchen with stainless steel appliances, granite countertops and glass front cabinets.  Updated baths, spacious master, fabulous pool with fountains, 2 car detached garage with electric gate.  Recent updates include refinished hardwoods, new windows, custom shutters, kitchen and bath remodel, swim jets installed in the pool, landscape lighting, new pool heater, new hot water heater, new pool surface.  Great curb appeal in a very desirable centralized location.Chevron DownShow more",3,2,3812,195,81 , 12 x 11,"Ceramic Tile, Slate, Wood","Central, Fireplace(s), Natural Gas","Central Air, Electric","Built-In Gas Range, Dishwasher, Disposal, Gas Water Heater, Microwave, Refrigerator, Vented Exhaust Fan",,,1,9016 ,00000202921000000," Tudor , DetachedProperty ",SingleFamily,1926," Natural Gas Available, Sewer Available, Separate Meters, Underground Utilities, Water Available, Cable Available","Security System, Other",Bomars 02 University Place,3%,,4,2,2,"Curbs, Sidewalks",2,,,,,,,Window Coverings," Dry Bar, Decorative/Designer Lighting Fixtures, High Speed Internet, Smart Home, Cable TV, Wired for Sound",,,,
3048 Westforest Dr,Dallas,TX,75229,32.904594,-96.87413000000001,1740,https://www.zillow.com/homedetails/3048-Westforest-Dr-Dallas-TX-75229/26812227_zpid/,345000,Multi-family home,Enclosed back patioStainless appliancesTile workDesigner fixtures,"Welcome Home! This 3 bedroom 2 bathroom home has been completely updated from top to bottom. Home includes an enclosed back patio, designer fixtures and tile work in the bathrooms, quartz countertops, stainless appliances and much more. This home is truly a show stopper!Chevron DownShow more",3,4,119,8,1, 0 x 0,,,Central Air,"Dishwasher, Electric Range, Disposal, Microwave","Chandelier, Granite Counters",,2,5314 ,00000606902220000,,,1983,,,Chapel Forest,3%,,2,2,2,,,,,,,,,,,,,,
13324 Vida Ln,Dallas,TX,75253,32.681065000000004,-96.601715,1048,https://www.zillow.com/homedetails/13324-Vida-Ln-Dallas-TX-75253/26922064_zpid/,250000,House,Cozy fireplaceNew windowsLarge open cement patioAttached diningGreat backyardSpacious kitchenBreakfast bar,"Charming and well maintained 3 bedroom, 2 bath home - ready for move in! Welcoming main living area with a cozy fireplace. Spacious kitchen with attached dining as well as breakfast bar. Primary bedroom with en suite bath - and nice sized secondary bedrooms. Great backyard with a large open cement patio - ready for relaxing or entertaining! New windows, updating flooring in the living room & primary. Updated water heater, gutters & fencing. Conveniently located for commuting to Fort Worth or Dallas. Quick & Easy access to 175 & 20.Chevron DownShow more",3,2,27,4,1,,"Carpet, Laminate","Central, Electric","Central Air, Electric","Dishwasher, Electric Range, Electric Water Heater, Disposal",,,1,6054 ,0088210A000230000," Traditional , DetachedProperty ",SingleFamily,1985," Sewer Available, Water Available",,Highland Vista Estates,3%,,2,2,2,,,,,,,,,Window Coverings," Eat-in Kitchen, High Speed Internet",,,,
2008 Waleska Plz,Dallas,TX,75211,32.717754,-96.90205999999999,1323,https://www.zillow.com/homedetails/2008-Waleska-Plz-Dallas-TX-75211/26912452_zpid/,269900,House,New countertopsNew paintNew flooring,"Come see this fully, updated, beautiful home located in the Cockrell Hill Oak Cliff area! With all new flooring, new countertops, new paint and more!  Don't miss this gorgeous home.Chevron DownShow more",3,3,598,24,2 ,,"Carpet, Laminate, Tile",Central,"Central Air, Ceiling Fan(s)","Dishwasher, Electric Range, Disposal, Microwave","High Speed Internet, Pantry, Cable TV, Walk-In Closet(s)",,2,1132 ,00801300030390000, DetachedProperty ,SingleFamily,2001," Sewer Available, Water Available, Cable Available",,Los Encinos,2.5%,,2,2,2,Curbs,,,,,,Yes,16.0,,,,,,
4808 Zealand St,Dallas,TX,75216,32.71512,-96.74237,1674,https://www.zillow.com/homedetails/4808-Zealand-St-Dallas-TX-75216/96511283_zpid/,325000,House,Recessed led lightingCeiling fansOpen floor planGranite counter topsPremium vinyl flooringDecorative doorDecorative stained wood front,"Be greeted by a refreshing contemporary style one story 4 bedroom 2 bath and 2 car garage.  Low maintenance cement fiber exterior with a 30 year shingle roof. Decorative stained wood front with decorative door. Interior offers an open floor plan with premium vinyl flooring, ceiling fans, recessed LED lighting, dropped lights over kitchen island.  All windows have 2 inch blinds.  Granite counter tops and tile backsplash. Beautiful master bath with sinks and decorative walk in master shower with seamless glass panels. Large walk in closet.  Owner has survey of land, but not with new house. New survey will be buyer's responsibility. Please confirm measurements and schools.Chevron DownShow more",4,2,908,88,5 , 11 x 9,"Ceramic Tile, Laminate, Luxury Vinyl Plank, Tile","Central, Electric","Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Range, Electric Water Heater, Disposal, Vented Exhaust Fan",,,1,7718 ,00000760006000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2023," Electricity Connected, Sewer Available, Separate Meters, Water Available, Cable Available","Smoke Detector(s), Security Lights",Central Ave,3%,,2,2,2,,,,,,,,,Window Coverings," Chandelier, Granite Counters, Pantry, Cable TV, Walk-In Closet(s)",,,,
3716 Colonial Ave,Dallas,TX,75215,32.756145000000004,-96.76971,,https://www.zillow.com/homedetails/3716-Colonial-Ave-Dallas-TX-75215/26680615_zpid/,99000,Lot / Land,Fair park area,"Fair Park area! This prime 50 ft road front lot, strategically situated near Love Field and a city expansion project, offers a gateway to endless possibilities. Boasting easy access to both highway 175 and Interstate 45, this location is a developer's dream. Take advantage of the meticulous groundwork laid by the sellers – explore their comprehensive project plans and completed environmental studies. The groundwork has been done; all that's left is for you to bring your ideas to life and permits! That is a huge savings on expenses and time. Contact us now to make this promising investment yours. Sellers survey and environmental studies area available for their qualified buyer and within MLS documents.  See 3709 Colonial MLS  20510015 for another great opportunity.Chevron DownShow more","7,667", ,52,5,1,,,,,,,,,7666 ,00000144073000000Zoning description: Residential and mixed use,,,," Sewer Available, Water Available",,J C Hugules & Clouds Wendelkin,3%,,,,,"Curbs, Sidewalks",,,,,,,,,,,,,
3709 Colonial Ave,Dallas,TX,75215,32.756015999999995,-96.77043,,https://www.zillow.com/homedetails/3709-Colonial-Ave-Dallas-TX-75215/26680608_zpid/,99000,Lot / Land,Fair park area,"Fair Park area! This prime 51 ft road front lot, strategically situated near Love Field and a city expansion project, offers a gateway to endless possibilities. Boasting easy access to both highway 175 and Interstate 45, this location is a developer's dream. Take advantage of the meticulous groundwork laid by the sellers – explore their comprehensive project plans and completed environmental studies. All that's left is for you to bring your ideas to life and permits! That is a huge savings on expenses and time.   Contact us now to make this promising investment yours. Sellers survey and environmental studies area available for their qualified buyer and within MLS documents. See 3716 Colonial MLS  20510961 for another great  opportunity.Chevron DownShow more","6,142", ,34,3,1,,,,,,,,,6141 ,00000144061000000Zoning description: Residential and mixed use,,,," Sewer Available, Water Available",,Ervay Street Heights Add,3%,,,,,"Sidewalks, Curbs",,,,,,,,,,,,,
910 W Colorado Blvd,Dallas,TX,75208,32.758309999999994,-96.83738000000001,3760,https://www.zillow.com/homedetails/910-W-Colorado-Blvd-Dallas-TX-75208/26718232_zpid/,1320000,House,Cozy fireplaceBamboo gardenSleek poolPrimary suiteWalk-in closetSpacious bathPool deck,"Unique Mid Century resort-like setting on Colorado Blvd...the grounds are stunning....set up the 3 piece jazz trio on the terrazzo patio, enjoy cocktails at the sleek pool, invite all to enjoy evening serenades...Single floor layout makes living so simple with Primary suite leading into spacious bath, walk-in closet, private entry to pool deck, and discreet passage to kitchen & utility. Excellent prep Kitchen has SubZero tandem frig, recent premium KitchenAid appls...Art gallery setting in the Dining room with generous cocktail-lounge space.  Breakfast nook by cozy fireplace that leads from kitchen to stylish Living room views of pool, patio with rare terrazzo surfaces. Nothing to do but relax by the pool and take in the terraced green space....follow the stone path through the bamboo garden or visit the log cabin to story tell or entertain family, friends....Chevron DownShow more",3,3,2909,193,57 , 25 x 15,"Ceramic Tile, Hardwood, Terrazzo",Natural Gas,Central Air,"Built-In Gas Range, Built-In Refrigerator, Convection Oven, Dishwasher, Gas Cooktop, Disposal, Gas Water Heater, Some Commercial Grade, Vented Exhaust Fan, Wine Cooler","Cedar Closet(s), Cathedral Ceiling(s), Dry Bar, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Pantry, Cable TV, Walk-In Closet(s)",,1,43124, 00000292381000000," Mid-Century Modern , DetachedProperty ",SingleFamily,1953," Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available","Security System, Security Gate, Other",Kessler Highlands,3%,,4,2,2,,2, 20 x 15,," Gas Dryer Hookup, Laundry in Utility Room","Outbuilding, Other",,,,,,"Rain Water Collection, Water-Smart Landscaping",,
5414 Harbor Town Dr,Dallas,TX,75287,32.987118,-96.82182,4978,https://www.zillow.com/homedetails/5414-Harbor-Town-Dr-Dallas-TX-75287/26586401_zpid/,2650000,House,Creek front lotSpectacular golf courseBent tree northWine storageAmazing game roomFeature wallLarge island,"Completely remodeled inside and out! Gorgeous home on a spectacular golf course and creek front lot. All renovations 2019-2023. Open and bright with soaring ceilings and wonderful split bedroom floorplan. Two bedrooms down and three rooms up. Amazing game room overlooking sparkling renovated pool. Spacious gourmet kitchen that boasts large island, built in refrigerator, wine storage, gas cooktop, designer lighting, and walls of custom-built cabinets. Master suite is a luxury retreat with fireplace, sitting area, feature wall, separate his and her closets and spa like bathroom. Outdoor living area is covered and has fireplace, grill, and electronic screens for year-round enjoyment. Direct access to Bent Tree Country Club golf course. One of the best streets in Bent Tree North. Extra storge shed to remain. Generator to remain.  Unique opportunity to own on this coveted street. Survey is available but Buyer will need new one with added outdoor addition. See list of all renovations.Chevron DownShow more",5,6,79,3,1, 12 x 6,"Ceramic Tile, Hardwood",Central,"Central Air, Ceiling Fan(s)","Built-In Gas Range, Built-In Refrigerator, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water Heater, Ice Maker, Microwave, Tankless Water Heater, Wine Cooler","Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Eat-in Kitchen, High Speed Internet, Kitchen Island, Loft, Open Floorplan, Pantry, Paneling/Wainscoting, Smart Home, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",,2,21780, R003800500201," Contemporary/Modern , DetachedProperty ",SingleFamily,1981," Sewer Available, Water Available, Cable Available","Security System Owned, Security System, Carbon Monoxide Detector(s), Fire Alarm, Smoke Detector(s), Security Lights",Bent Tree North,3%,,5,3,5,Curbs,2,,,,Shed(s),Yes,37.0,,,,,Onsite Recycling Center,
3311 Whitehall Dr,Dallas,TX,75229,32.901222,-96.86548,2051,https://www.zillow.com/homedetails/3311-Whitehall-Dr-Dallas-TX-75229/26809359_zpid/,535000,House,Delightful gas fireplaceUpdated residenceSun-soaked morningsPendant lightingCozy sitting areaStone patioFull-sized laundry room,"Explore an extraordinary opportunity in Kenilworth Estates, where this captivating home defines stylish living in the prestigious private school corridor.  Upon entering, you'll find a spacious family and dining area offering views of the stone patio and the sparkling pool, inviting pure relaxation. The kitchen features ceramic tile backsplash, pendant lighting, and top-tier stainless-steel appliances.  The Primary suite is a lavish retreat with a cozy sitting area and seamless access to where sun-soaked mornings and serene starlit evenings await. Entertain in style in the pool and patio area, surrounded by lush greenery, creating a perfect backdrop for cherished gatherings and memories.   updated residence boasts refreshed bathrooms, a delightful gas fireplace, and a full-sized laundry room. Recent replacements of the roof, HVAC system, and water heater since 2020 ensure worry-free living.Chevron DownShow more",4,3,3030,174,18 , 10 x 14,"Carpet, Laminate","Central, Natural Gas","Attic Fan, Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water Heater, Plumbed For Gas, Vented Exhaust Fan","Decorative/Designer Lighting Fixtures, Cable TV",,1,10802 ,00000593149000000," Ranch , Traditional , DetachedProperty ",SingleFamily,1962," Sewer Available, Water Available, Cable Available",Security System,Kenilworth Estates,3%,,2,2,2,Sidewalks,,,,,,,,,,,,,
10424 Heather Ln,Dallas,TX,75229,32.888706,-96.852615,5928,https://www.zillow.com/homedetails/10424-Heather-Ln-Dallas-TX-75229/26806528_zpid/,2995000,House,Open floor planWhite oak hardwood floorsPrep kitchenGorgeous curb appealOutdoor kitchenWalk-in closetQuartz countertops,"This new construction luxury estate features 5-bed all ensuite on an oversized .37-acre lot in the premier private school corridor. Crafted by Olerio Homes with an open floor plan seamlessly connecting the kitchen to living areas, perfect for entertaining.  Unwind in the lavish primary suite, complete with a spa-like bath and a walk-in closet.  Four additional ensuite beds offer ample space and privacy for all guests. Timeless elegance of custom finishes include marble and quartz countertops, white oak hardwood floors, designer lighting and hardware.  The heart of the home offers a gourmet kitchen, with top-of-the-line stainless appliances, and additional prep kitchen for hosting. Gorgeous curb appeal including a privacy drive and gate to access your 3 car garage. A dedicated study and game room offers abundant space for both work and play. Step outside to the expansive backyard, where you'll find a covered patio with phantom screens, outdoor kitchen and beautifully landscaped grounds.Chevron DownShow more",5,6,1602,116,7 , 15 x 15,"Ceramic Tile, Hardwood, Marble","Central, Fireplace(s), Natural Gas","Central Air, Ceiling Fan(s), Electric","Built-In Gas Range, Built-in Coffee Maker, Built-In Refrigerator, Double Oven, Dishwasher, Gas Cooktop, Disposal, Microwave, Refrigerator, Tankless Water Heater","Wet Bar, Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Eat-in Kitchen, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Smart Home, Cable TV, Natural Woodwork, Walk-In Closet(s), Wired for Sound",,2,16117,00000584926000000," Other , DetachedProperty ",SingleFamily,2023," Electricity Connected, Natural Gas Available, Sewer Available, Water Available, Cable Available","Security System, Fire Alarm",Walnut Hill Park,3%,,3,3,3,Curbs,,,, Laundry in Utility Room,,,,,,,,,
